ID,Severity,Group,SourceFile,Function,Category,Summary,Status,ReviewFile
FR-001,CRITICAL,1,app/core/ir/yaml_shim.py,yaml_config_to_ir,Silent Failure,A YAML file with a node missing the `type` field causes an unhandled `KeyError` that propagates up the call stack with no useful error message.,OPEN,File_review/GROUP_01_IR_Core/yaml_shim.md
FR-002,CRITICAL,4,app/core/plugins/manager.py,PluginManager.install,State Bug,Race condition on concurrent installs of the same plugin name: 1.,OPEN,File_review/GROUP_04_Plugin_Ecosystem/manager.md
FR-003,CRITICAL,5,app/core/planner.py,_build,Silent Failure,Duplicate node IDs cause silent data corruption: the wrong node instance is wired into the graph.,OPEN,File_review/GROUP_05_Planner/planner.md
FR-004,CRITICAL,6,app/core/orchestrator.py,run_pipeline_ir_async,Resource Leak,"Any exception in the sequential path (node failure, condition evaluation error, cache error) causes all `NodeExecutor` instances to leak without teardown.",OPEN,File_review/GROUP_06_Execution_Runtime/orchestrator.md
FR-005,CRITICAL,6,app/core/orchestrator.py,run_pipeline_ir_async,Resource Leak,A wave failure in parallel mode leaks the `ThreadPoolExecutor` (threads remain alive) and all node executors (resources not released).,OPEN,File_review/GROUP_06_Execution_Runtime/orchestrator.md
FR-006,CRITICAL,11,app/mcp/handlers/execution.py,execute_pipeline_handler,Silent Failure Risk,If the background execution raises an exception (e.g.,OPEN,File_review/GROUP_11_MCP/execution.md
FR-007,CRITICAL,11,app/mcp/handlers/provenance.py,replay_run_handler,Silent Failure Risk,Discarded Future: background execution exceptions are silently swallowed.,OPEN,File_review/GROUP_11_MCP/provenance.md
FR-008,CRITICAL,13,PluginPackage/Audio/audio_exporter/nodes.py,AudioExporterNode.process,Error Handling,"When `append=False` and `out_root.exists()`, calls `shutil.rmtree(out_root)`.",OPEN,File_review/GROUP_13_Audio_Plugins_Batch_1/audio_exporter_nodes.md
FR-009,CRITICAL,15,PluginPackage/Audio/speech_synthesizer/nodes.py,SpeechSynthesizerNode._synthesize_espeak,Resource Leak,The function creates TWO temporary files but only deletes the second one.,OPEN,File_review/GROUP_15_Audio_Plugins_Batch_3/speech_synthesizer_nodes.md
FR-010,CRITICAL,16,PluginPackage/Common/trainer/nodes.py,TrainerNode._train_pytorch,Error Handling,"NaN loss during training causes the model to train for `patience` epochs, then save a NaN-weight model to disk.",OPEN,File_review/GROUP_16_Common_Plugins/trainer_nodes.md
FR-011,HIGH,1,app/core/ir/loader.py,load_ir,Error Handling,"More critically: if `data` is `None` or not a dict, `model_validate` raises `pydantic.ValidationError` — but the docstring does not document this case.",OPEN,File_review/GROUP_01_IR_Core/loader.md
FR-012,HIGH,1,app/core/ir/migrate.py,migrate_yaml_to_ir_file,Resource Management,The migration tool inherits the non-atomic write risk from `dump_ir_to_file`.,OPEN,File_review/GROUP_01_IR_Core/migrate.md
FR-013,HIGH,1,app/core/ir/models.py,IRNode._deep_copy_config,Silent Failure,The docstring and the P-23 fix comment claim full mutation protection.,OPEN,File_review/GROUP_01_IR_Core/models.md
FR-014,HIGH,1,app/core/ir/yaml_shim.py,yaml_config_to_ir,Silent Failure,A completely wrong YAML file (e.g.,OPEN,File_review/GROUP_01_IR_Core/yaml_shim.md
FR-015,HIGH,1,app/core/ir/yaml_shim.py,yaml_config_to_ir,Edge Case,A malformed edge in the YAML (missing port in the list) causes an `IndexError` with no useful error message identifying which edge is malformed.,OPEN,File_review/GROUP_01_IR_Core/yaml_shim.md
FR-016,HIGH,2,app/core/nodes/base.py,Node.process_stream,Async Bug,"If a subclass overrides `process` as `async def process(self, inputs)`, the default `process_stream` will call `run_in_executor(None, self.process, inputs)` which submits the coroutine *object* to a thread.",OPEN,File_review/GROUP_02_Node_Base/base.md
FR-017,HIGH,2,app/core/nodes/base.py,_install_siso_wrapper / _siso_process,Silent Failure,"For multi-output SISO nodes (contradictory but possible if `_siso=True` is set explicitly), the guard only passes through if ALL output port keys are present.",OPEN,File_review/GROUP_02_Node_Base/base.md
FR-018,HIGH,2,app/core/nodes/compat.py,CompatibilityChecker.are_compatible,Silent Failure,The actual silent failure is in Rule 4 for **`typing.ClassVar`** and **`typing.Final`** types.,OPEN,File_review/GROUP_02_Node_Base/compat.md
FR-019,HIGH,3,app/core/nodes/discovery.py,AutoDiscovery._import_file,State Bug,Unconditionally writes the module into `sys.modules[module_name]` before `spec.loader.exec_module(module)` completes.,OPEN,File_review/GROUP_03_Registry_Discovery/discovery.md
FR-020,HIGH,3,app/core/nodes/discovery.py,AutoDiscovery._import_file,Edge Case,`path.parent.name` is the immediate parent directory name (e.g.,OPEN,File_review/GROUP_03_Registry_Discovery/discovery.md
FR-021,HIGH,3,app/core/registry_runtime.py,get_registry,Contract Mismatch,Returns `registry` — the module-level object imported from `app.core.nodes` at module load time via `from app.core.nodes import registry`.,OPEN,File_review/GROUP_03_Registry_Discovery/registry_runtime.md
FR-022,HIGH,3,app/core/registry_runtime.py,resolve_capability,Silent Failure Risk,"The bare `except Exception: return IRCapabilityMetadata()` swallows ALL exceptions from `registry.get_metadata(ir_node.node_type)` — including `NodeNotFoundError` (unknown node type, which is expected and documented), bu...",OPEN,File_review/GROUP_03_Registry_Discovery/registry_runtime.md
FR-023,HIGH,4,app/core/plugins/dependencies.py,DependencyChecker._auto_install,Silent Failure Risk,"`pip install` returns 0 (success), `_auto_install` returns without error, but the installed package is not importable in the current process.",OPEN,File_review/GROUP_04_Plugin_Ecosystem/dependencies.md
FR-024,HIGH,4,app/core/plugins/index.py,PluginIndexClient._fetch_remote,State Bug,In production: if the index is fetched once with stale data (e.g.,OPEN,File_review/GROUP_04_Plugin_Ecosystem/index.md
FR-025,HIGH,4,app/core/plugins/installer.py,PluginInstaller._resolve_git,Resource Leak,"When the manifest is found at level 2 (grandchild), `resolved_tmpdir = resolved_dir.parent` points to the level-1 child directory.",OPEN,File_review/GROUP_04_Plugin_Ecosystem/installer.md
FR-026,HIGH,4,app/core/plugins/loader.py,PluginLoader._import_entry_points,State Bug,"Race condition: if a concurrent thread registers a node type between the `before` snapshot and the `after` snapshot, that type will appear in `new_types` even though this plugin did not register it.",OPEN,File_review/GROUP_04_Plugin_Ecosystem/loader.md
