Node Name,Role,Primary Inputs,Primary Outputs,Internal Responsibilities,Expected Capabilities / Full Scope
dataset_ingest,"Universal audio dataset ingestion and normalization layer","filesystem paths, archives, URLs, cloud buckets, manifests, HF datasets","AudioSample batches + dataset metadata","scan sources, validate audio, decode formats, extract metadata, deduplicate, manifest generation, corruption detection, dataset indexing","filesystem ingest, S3/GCS ingest, HuggingFace ingest, zip/tar ingest, streaming ingest, metadata parsing, recursive scanning, integrity validation, duplicate detection, transcoding, automatic labeling, language detection, speaker metadata extraction, lazy loading, resumable ingest, ingestion caching"
stream_ingest,"Realtime streaming audio ingestion","microphone streams, RTP, RTSP, WebRTC, websocket streams","streaming AudioSample chunks","buffer management, timestamping, packet handling, stream decoding","microphone ingest, live websocket ingest, RTP/RTSP ingest, telephony ingest, rolling windows, chunk buffering, latency-aware ingest, stream synchronization, adaptive buffering"
audio_conditioner,"Unified frontend audio conditioning","AudioSample","conditioned AudioSample","resampling, normalization, silence trimming, mono conversion, dc removal, limiter, clipping protection","sample-rate conversion, loudness normalization, LUFS normalization, silence removal, clipping detection, channel conversion, anti-clipping limiter, preemphasis, dynamic range normalization, edge-safe conditioning"
audio_quality_gate,"Dataset quality validation and rejection layer","AudioSample","validated/rejected AudioSample + quality metadata","quality scoring, corruption detection, clipping detection, noise scoring","SNR estimation, clipping detection, silence detection, loudness validation, bandwidth validation, codec artifact detection, speech quality estimation, duplicate detection, rejection policies, dataset quality analytics"
speech_enhancer,"Speech cleanup and enhancement pipeline","AudioSample","enhanced AudioSample","denoise, dereverb, deecho, vocal isolation","RNNoise, DeepFilterNet, spectral subtraction, beamforming, dereverberation, vocal enhancement, telephony enhancement, low-bitrate enhancement, realtime enhancement"
speaker_separator,"Separate speakers or sources from mixed audio","mixed AudioSample","isolated speaker AudioSample streams","source separation, diarization preparation","speaker separation, music/vocal separation, multi-source separation, diarization preprocessing, overlap speech separation, beamforming integration"
segmenter,"Semantic audio segmentation system","AudioSample","segmented AudioSample chunks + timestamps","windowing, VAD segmentation, overlap chunking","fixed windows, sliding windows, VAD segmentation, silence segmentation, speaker turn segmentation, event segmentation, overlap management, realtime chunking"
audio_annotator,"Attach semantic labels and annotations to audio","AudioSample","annotated AudioSample","metadata enrichment, labeling, annotation management","manual annotation, automatic annotation, weak labeling, taxonomy assignment, multilingual labeling, event tagging, confidence labeling, metadata propagation"
alignment_node,"Temporal alignment engine","audio + transcripts/labels","aligned timestamps and alignment metadata","forced alignment, token timing estimation","phoneme alignment, word alignment, subtitle alignment, transcript synchronization, multilingual alignment, CTC alignment, MFA integration"
feature_frontend,"Unified feature extraction frontend","AudioSample","FeatureArray","windowing, FFT, mel processing, MFCC generation","log-mel, MFCC, spectrograms, chroma, SSL frontend compatibility, normalization, framing, feature standardization, edge-optimized features"
